FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000483	0.532289	0.000259488	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000484	0.532289	0.522527	1.74328e-05	0.505887	N/A	0.510424	0.516903
N0.HOG0000494	0.532289	0.000259488	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000495	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000497	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000499	0.092262	0.543544	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000500	0.092262	0.543544	0.0175067	0.511671	N/A	0.520523	0.532955
N0.HOG0000512	0.561485	0.0653274	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000513	0.561485	0.543544	0.511671	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000514	0.032796	0.522527	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000516	0.532289	0.0336612	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000517	0.532289	0.0336612	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000520	0.092262	0.543544	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000526	0.532289	0.0336612	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000528	0.561485	0.0653274	0.0175067	0.511671	N/A	0.520523	0.532955
N0.HOG0000530	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000535	0.092262	0.543544	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000536	0.00262242	0.0336612	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000539	0.532289	0.000259488	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000541	0.00262242	0.000304058	0.511671	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000545	6.72397e-05	0.0336612	0.00882236	0.505887	N/A	0.0307862	0.516903
N0.HOG0000546	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000547	0.532289	0.522527	0.00882236	0.0029523	N/A	0.510424	0.516903
N0.HOG0000548	0.561485	0.0012742	0.5	0.5	N/A	0.520523	0.00016424
N0.HOG0000557	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000563	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000564	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000566	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000568	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000569	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000572	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000579	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000580	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000583	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000586	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000590	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000600	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000607	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000610	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000615	0.032796	0.0336612	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000621	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000623	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000636	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000642	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000644	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000647	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000652	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000659	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000663	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000664	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000667	0.032796	0.0336612	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000671	0.532289	5.91294e-06	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000672	0.561485	0.0653274	1.82437e-05	0.511671	N/A	0.520523	0.532955
N0.HOG0000674	0.532289	5.91294e-06	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0001733	0.532289	0.0336612	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0004765	0.532289	0.0336612	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0005250	0.532289	0.0113876	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0005595	0.532289	0.0113876	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009430	0.032796	0.0336612	0.505887	0.00882236	N/A	0.0307862	0.516903
N0.HOG0009532	0.032796	0.522527	0.5	0.5	N/A	0.0307862	0.0252825
N0.HOG0009534	0.032796	0.522527	0.5	0.5	N/A	0.0307862	0.0252825
N0.HOG0009535	0.532289	0.0113876	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0009537	0.532289	0.522527	0.00882236	0.0029523	N/A	0.510424	0.516903
N0.HOG0009539	0.0163963	0.0336612	0.00882236	0.0029523	N/A	0.510424	0.516903
N0.HOG0009540	0.532289	0.522527	0.00882236	0.0029523	N/A	0.510424	0.516903
N0.HOG0009541	0.532289	0.0336612	0.00882236	1.74328e-05	N/A	0.510424	0.516903
N0.HOG0009543	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009545	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009549	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009551	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009553	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009557	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009558	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009566	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009567	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009569	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009572	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009575	0.532289	0.0336612	0.0029523	0.00882236	N/A	0.510424	0.516903
